x,y
0,0
2560,1440
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
764,349
763,349
763,349
763,349
763,349
763,349
763,349
762,349
762,349
762,349
762,349
762,349
762,349
762,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
761,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
760,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
759,349
758,349
758,349
758,349
757,350
757,350
757,350
754,350
754,350
752,350
752,350
752,350
750,350
750,350
750,350
746,351
746,351
740,351
740,351
740,351
731,351
731,351
720,351
720,351
720,351
705,351
705,351
705,351
687,351
687,351
657,352
657,352
657,352
621,352
621,352
579,352
579,352
579,352
513,357
513,357
456,359
456,359
456,359
391,359
391,359
391,359
325,359
325,359
272,359
272,359
272,359
209,359
209,359
209,359
142,366
142,366
47,370
47,370
0,381
9,382
25,382
25,382
50,380
50,380
478,364
478,364
617,364
617,364
730,362
730,362
851,362
851,362
851,362
988,357
988,357
1193,357
1193,357
1347,357
1347,357
1347,357
1507,357
1507,357
1729,358
1895,364
1895,364
2058,369
2058,369
2058,369
2216,374
2216,374
2216,374
2427,382
2427,382
2559,384
2559,384
2559,384
2559,389
2559,389
2559,392
2559,392
2559,392
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2559,394
2558,394
2558,394
2558,394
2554,394
2554,394
2543,394
2543,394
2543,394
2529,393
2529,393
2504,392
2504,392
2504,392
2462,392
2462,392
2409,392
2409,392
2409,392
2352,390
2352,390
2301,390
2301,390
2301,390
2206,390
2206,390
2132,390
2132,390
2132,390
2043,390
2043,390
2043,390
1903,390
1903,390
1794,390
1794,390
1794,390
1678,391
1678,391
1500,396
1500,396
1500,396
1363,404
889,437
758,450
632,460
632,460
632,460
510,465
510,465
347,473
347,473
347,473
240,473
240,473
133,475
133,475
133,475
35,475
35,475
0,475
0,475
0,475
0,475
0,475
0,475
0,475
0,475
0,474
0,474
0,472
0,472
0,472
0,467
0,467
