x,y
0,0
2560,1440
1679,1439
1679,1439
1679,1439
1678,1439
1678,1439
1678,1439
1678,1439
1678,1439
1677,1438
1677,1438
1677,1438
1677,1432
1677,1432
1677,1432
1677,1419
1677,1419
1677,1419
1677,1381
1677,1381
1677,1381
1678,1327
1678,1327
1683,1249
1683,1249
1683,1249
1688,1151
1688,1151
1688,1151
1693,1035
1693,1035
1693,1035
1695,904
1695,904
1695,765
1695,765
1695,765
1695,617
1695,617
1695,617
1693,427
1693,427
1691,279
1691,279
1691,279
1686,133
1686,133
1686,133
1681,0
1681,0
1681,0
1678,0
1678,0
1678,0
1676,0
1676,0
1676,0
1676,0
1676,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,0
1673,8
1673,8
1673,8
1672,27
1672,27
1668,64
1668,64
1668,64
1658,160
1658,160
1658,160
1651,253
1651,253
1639,373
1639,373
1634,504
1634,504
1634,504
1626,647
1626,647
1621,798
1621,798
1621,798
1613,953
1613,953
1600,1158
1600,1158
1600,1158
1592,1301
1592,1301
1587,1439
1587,1439
1587,1439
1582,1439
1582,1439
1582,1439
1582,1439
1582,1439
1580,1439
1580,1439
1580,1439
1580,1439
1577,1439
1577,1439
1577,1439
1577,1439
1577,1439
1577,1439
1577,1439
1577,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1576,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1439
1575,1437
1575,1437
1575,1428
1575,1428
1575,1428
1578,1405
1578,1405
1586,1361
1586,1361
1597,1300
1597,1300
1597,1300
1608,1221
1608,1221
1623,1124
1623,1124
1623,1124
1636,981
1636,981
1648,861
1648,861
1656,730
1656,730
1656,730
1668,593
1668,593
1676,456
1676,456
1676,456
1684,319
1684,319
1689,179
1689,179
1691,51
1691,51
1691,51
1694,0
1694,0
1696,0
1696,0
1696,0
1696,0
1696,0
1696,0
1696,0
1696,0
1696,0
1696,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1698,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1697,0
1696,5
1696,5
1696,5
1694,20
1694,20
1689,58
1689,58
1684,130
1684,130
1684,130
1679,228
1679,228
1677,353
1677,353
1677,492
1677,492
1677,492
1677,703
1677,703
1678,869
1678,869
1678,1029
1678,1029
1678,1029
1681,1180
1681,1180
1684,1379
1684,1379
1684,1379
1686,1439
1686,1439
1691,1439
1691,1439
1691,1439
1696,1439
1696,1439
1701,1439
1701,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1704,1439
1703,1439
1703,1439
1703,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1439
1702,1438
1702,1438
1702,1432
1702,1432
1702,1432
1702,1419
1702,1419
1702,1399
1702,1399
1706,1364
1706,1364
1706,1364
1712,1292
1712,1292
1721,1222
1721,1222
1726,1141
1726,1141
1726,1141
1728,1046
1728,1046
1731,936
1731,936
1731,936
1731,817
1731,817
1731,681
1731,681
1731,545
1731,545
1731,545
1724,369
1724,369
1714,232
1714,232
1704,101
1704,101
1704,101
1694,0
1694,0
1681,0
1681,0
1672,0
1672,0
1672,0
1665,0
1665,0
1660,0
1660,0
1656,0
1656,0
1656,0
1651,0
1651,0
1649,0
1649,0
1646,0
1646,0
1646,0
1644,0
1644,0
1643,0
1643,0
1643,0
1643,0
1643,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1642,0
1641,2
1641,2
1641,2
1641,11
1641,11
1638,27
1638,27
1637,58
1637,58
1637,58
1635,109
1635,109
1627,211
1627,211
1625,309
1625,309
1625,309
1623,428
1623,428
1620,567
1620,567
1620,716
1620,716
1620,716
1627,870
1627,870
1640,1028
1640,1028
1653,1180
1653,1180
1653,1180
1682,1383
1682,1383
1703,1439
1703,1439
1703,1439
1726,1439
1726,1439
1743,1439
1743,1439
1755,1439
1755,1439
1755,1439
1764,1439
1764,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1439
1767,1437
1767,1437
1767,1429
1767,1429
1767,1414
1767,1414
1767,1414
1767,1387
1767,1387
1773,1338
1773,1338
1782,1269
1782,1269
1782,1269
1789,1181
1789,1181
1794,1080
1794,1080
1797,932
1797,932
1797,932
1797,810
1797,810
1797,689
1797,689
1797,570
1797,570
1797,448
1797,448
1797,448
1793,332
1793,332
1793,219
1793,219
1793,219
1793,110
1793,110
1793,0
1793,0
1793,0
1793,0
1793,0
1791,0
1791,0
1791,0
1791,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1788,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1787,0
1786,0
1786,0
1785,1
1785,1
1782,10
1782,10
1782,10
1777,27
1777,27
1769,65
1769,65
1763,126
1763,126
1763,126
1756,207
1756,207
1751,300
1751,300
1751,416
1751,416
1751,576
1751,576
1751,576
1753,712
1753,712
1763,846
1763,846
1768,989
1768,989
1775,1126
1775,1126
1775,1126
1780,1260
1780,1260
1780,1387
1780,1387
1780,1439
1780,1439
1780,1439
1780,1439
1780,1439
1779,1439
1779,1439
1774,1439
1774,1439
1772,1439
1772,1439
1770,1439
1770,1439
1770,1439
1766,1439
1766,1439
1763,1439
1763,1439
1760,1439
1760,1439
1760,1439
1757,1439
1757,1439
1756,1439
1756,1439
1756,1439
1756,1439
1756,1439
1756,1439
1756,1439
1756,1439
1756,1439
1755,1439
1755,1439
1755,1437
1755,1437
1755,1437
1755,1431
1755,1431
1755,1413
1755,1413
1756,1362
1756,1362
1756,1362
1765,1303
1765,1303
1771,1231
1771,1231
1778,1141
1778,1141
1783,1043
1783,1043
1783,1043
1783,930
1783,930
1783,811
1783,811
1783,693
1783,693
1782,527
1782,527
1782,527
1777,402
1777,402
1774,283
1774,283
1769,167
1769,167
1769,167
1767,57
1767,57
1767,0
1767,0
1764,0
1764,0
1762,0
1762,0
1760,0
1760,0
1760,0
1756,0
1756,0
1752,0
1752,0
1747,0
1747,0
1746,0
1746,0
1746,0
1743,0
1743,0
1742,0
1742,0
1741,0
1741,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1740,0
1739,0
1739,0
1739,0
1737,7
1737,7
1734,22
1734,22
1725,63
1725,63
1716,121
1716,121
1702,206
1702,206
1702,206
1690,308
1690,308
1680,425
1680,425
1668,554
1668,554
1668,554
1657,685
1657,685
1650,822
1650,822
1639,991
1639,991
1637,1119
1637,1119
1632,1244
1632,1244
1632,1244
1632,1360
1632,1360
1632,1439
1632,1439
1633,1439
1633,1439
1636,1439
1636,1439
1636,1439
1640,1439
1640,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
1642,1439
