x,y
0,0
2560,1440
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,840
1312,839
1312,839
1311,835
1311,835
1311,829
1311,829
1311,829
1311,822
1311,822
1311,809
1311,809
1311,809
1311,793
1311,793
1311,764
1311,764
1311,728
1311,728
1311,687
1311,687
1311,636
1311,636
1309,582
1309,582
1309,582
1309,522
1309,522
1309,466
1309,466
1309,412
1309,412
1309,412
1309,364
1309,364
1309,302
1309,302
1309,302
1309,260
1309,260
1309,221
1309,221
1309,180
1309,180
1309,180
1309,144
1309,144
1307,107
1307,107
1307,107
1304,76
1304,76
1300,48
1300,48
1300,48
1297,19
1297,19
1291,0
1291,0
1291,0
1286,0
1286,0
1283,0
1283,0
1280,0
1280,0
1280,0
1278,0
1278,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1277,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,0
1276,7
1276,7
1276,17
1276,17
1276,17
1276,30
1276,30
1277,46
1277,46
1279,69
1279,69
1280,99
1280,99
1282,142
1282,142
1282,142
1282,195
1282,195
1285,282
1285,282
1285,282
1285,356
1285,356
1287,440
1287,440
1287,532
1287,532
1287,532
1292,627
1292,627
1294,717
1294,717
1296,806
1296,806
1296,806
1301,893
1301,893
1301,976
1301,976
1304,1071
1304,1071
1304,1139
1304,1139
1304,1139
1304,1199
1304,1199
1306,1256
1306,1256
1306,1301
1306,1301
1306,1346
1306,1346
1306,1346
1306,1381
1306,1381
1305,1415
1305,1415
1303,1439
1303,1439
1303,1439
1303,1439
1303,1439
1302,1439
1302,1439
1300,1439
1300,1439
1300,1439
1299,1439
1299,1439
1299,1439
1299,1439
1298,1439
1298,1439
1298,1439
1297,1439
1297,1439
1295,1439
1295,1439
1294,1439
1294,1439
1294,1439
1293,1439
1293,1439
1293,1439
1293,1439
1292,1439
1292,1439
1292,1439
1291,1439
1291,1439
1291,1439
1291,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1290,1439
1289,1438
1289,1438
1289,1438
1289,1430
1289,1430
1289,1417
1289,1417
1289,1417
1287,1394
1287,1394
1283,1343
1283,1343
1279,1294
1279,1294
1279,1294
1275,1248
1275,1248
1271,1202
1271,1202
1267,1163
1267,1163
1267,1163
1264,1126
1264,1126
1260,1097
1260,1097
1260,1067
1260,1067
1260,1043
1260,1043
1259,1001
1259,1001
1259,1001
1259,968
1259,968
1259,932
1259,932
1259,887
1259,887
1259,840
1259,840
1259,840
1259,786
1259,786
1256,738
1256,738
1256,687
1256,687
1255,645
1255,645
1255,591
1255,591
1253,555
1253,555
1253,522
1253,522
1253,486
1253,486
1253,486
1251,447
1251,447
1249,410
1249,410
1247,368
1247,368
1243,325
1243,325
1241,280
1241,280
1235,225
1235,225
1235,225
1231,188
1231,188
1230,157
1230,157
1230,130
1230,130
1230,109
1230,109
1230,109
1228,93
1228,93
1228,79
1228,79
1228,65
1228,65
1228,54
1228,54
1229,39
1229,39
1229,39
1229,29
1229,29
1229,21
1229,21
1229,14
1229,14
1229,10
1229,10
1229,10
1229,6
1229,6
1229,5
1229,5
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1229,3
1230,3
1230,3
1230,6
1230,6
1230,10
1230,10
1230,10
1230,19
1230,19
1230,29
1230,29
1230,41
1230,41
1230,41
1230,61
1230,61
1230,77
1230,77
1230,95
1230,95
1230,95
1230,117
1230,117
1230,138
1230,138
